"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"bromelina e diosmina",,,"-",1413,325,4,92,230,8,0,1,1,1,0,0,0,0,0,0,15,18,18
"venosten",,,"-",5362,370,-32,44,69,8,2,1,0,0,0,0,0,0,0,0,"-","-",18
"caviglie gonfie",,,"-",196,196,-39,199,1000,8,2,1,1,0,0,0,0,0,0,0,"-",2,19
"erbaven",79.6,68.2,22,9477,1033,-39,149,109,29,11,1,0,0,0,0,0,0,0,0,"-","-",19
"meliloto",,,"-",1130,244,-33,84,216,8,35,1,0,0,0,0,0,0,0,0,"-","-",19
"crema vene",,,"-",46,92,-47,107,2000,8,17,1,0,0,0,0,0,0,0,0,"-","-",19
"vene capillari gambe",,,"-",77,36,-23,63,467,8,0,1,0,0,0,0,0,0,0,0,"-","-",19
"piedi gonfi rimedi",,,"-",1255,192,-27,97,153,8,0,1,0,0,0,0,0,0,0,0,"-","-",19
"essaven gel gambe vene e capillari",,,"-",697,145,-29,91,208,8,0,1,0,0,0,0,0,0,0,0,"-","-",19
"diosmina micronizzata",,,"-",3742,363,-28,41,97,8,4,1,0,1,0,0,0,0,0,0,22,"-",19
"mavosten amazon prezzo",,,"-",154500,309,-2,25,2,8,0,1,0,0,0,0,0,0,0,0,"-","-",19
"venicalm vene varicose",,,"-",1620,175,-42,49,108,8,0,1,1,0,0,0,0,0,0,0,"-",6,19
