"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"venoxx 60 compresse offerta",,,"-",4679,262,-44,35,56,8,0,1,0,1,0,0,0,0,0,0,51,"-",25
"capillari gambe",,,"-",371,268,-4,195,722,8,1,1,0,0,0,0,0,0,0,0,"-","-",26
"meliven top",,,"-",3221,277,-59,82,86,8,0,1,0,0,0,0,0,0,0,0,"-","-",26
"integratori per gambe pesanti",,,"-","-",0,"-",103,309,8,0,1,0,0,0,0,0,0,0,0,"-","-",26
"primefarm circolazione",,,"-",15000,405,-55,25,27,8,0,1,0,0,0,0,0,0,0,0,"-","-",26
"zyxelle",,,"-",8923,232,-48,16,26,8,2,1,0,0,0,0,0,0,0,0,"-","-",27
"gambe gonfie",31.6,,2,68,682,-49,249,10000,10,4,1,0,0,0,0,0,0,0,0,"-","-",27
"lipedema",28.3,,9,164,3272,-51,369,20000,37,27,1,0,0,0,0,0,0,0,0,"-","-",27
"emorroidi integratori",,,"-",1105,211,8,26,191,8,0,1,0,0,0,0,0,0,0,0,"-","-",27
"integratori circolazione gambe",,,"-",703,286,-22,118,407,8,0,1,0,0,0,0,0,0,0,0,"-","-",27
"venaflux viti",91.4,80,5,15220,624,-26,42,41,10,3,1,0,0,0,0,0,0,0,0,"-","-",27
"diosmectal bustine 30",80.8,71.4,7,14063,450,57,3,32,8,0,1,0,0,0,0,0,0,0,0,"-","-",27
"daosin 30 capsule istamina",87.9,80,10,16686,584,-9,15,35,9,0,1,0,0,0,0,0,0,0,0,"-","-",27
"hamolind compresse",,,"-",3630,196,-25,27,54,8,0,1,0,0,0,0,0,0,0,0,"-","-",28
"ippocastano",56.4,85.7,7,4567,717,-13,65,157,10,48,1,0,0,0,0,0,0,0,0,"-","-",29
"progesterone integratori",,,"-",10000,400,-2,5,40,8,0,1,0,0,0,0,0,0,0,0,"-","-",29
"polifenoli",,,"-",195,113,68,94,580,8,34,1,0,0,0,0,0,0,0,0,"-","-",29
"venolen plus compresse",,,"-","-",0,"-",17,10,8,0,1,0,0,0,0,0,0,0,0,"-","-",29
"venactum circolazione gambe",,,"-","-",0,"-",46,254,8,0,1,0,0,0,0,0,0,0,0,"-","-",29
"cerotti per vene varicose",,,"-",1143,311,-43,144,272,8,17,1,0,0,0,0,0,0,0,0,"-","-",29
"ketoform pro capsule",,,"-",2207,309,-13,41,140,8,0,1,0,0,0,0,0,0,0,0,"-","-",29
"gambe pesanti e doloranti",,,7,307,307,-59,208,1000,8,2,1,0,0,0,0,0,0,0,0,"-","-",30
"mioven 700 compresse",,,"-",8838,327,-36,23,37,8,0,1,0,0,0,0,0,0,0,0,"-","-",30
"integratore circolazione gambe",39.3,50,4,1338,499,-28,116,373,9,0,1,0,0,0,0,0,0,0,0,"-","-",31
"esperidina",60,50,2,2791,441,-3,49,158,8,46,1,1,1,0,0,0,0,0,0,13,1,31
"integratori gambe pesanti",,,"-",410,142,-55,95,346,8,0,1,0,0,0,0,0,0,0,0,"-","-",31
"bromelina 1000 mg",,,"-","-",0,"-",66,249,8,2,1,0,0,0,0,0,0,0,0,"-","-",31
